DVRL,DataOob,text,label,index
0.54866654,0.6814890503883362,"Sikhs On 'The Daily Show' Have Perfect Response For People Who Assume They're Muslim ""You need to lead with love."" Carol Kuruvilla",RELIGION,112
0.5381125,0.6813164353370667,"Hands Are for Fighting, Not for Talking? So many popular stories about evolution strive to pinpoint a single evolutionary force responsible for a particular trait. I am expecting that we will see a new tide of stories that are just so, given that news of a new biomechanical study of human hands and fists has hit the presses. Rob Brooks, Contributor
Evolutionary biologist and author",SCIENCE,30
0.54868597,0.6765803694725037,"Remembering Babylon: New Exhibit Explores Roots of Jewish Life in Iraq The museum, based in Jerusalem, has amassed a collection of more than 100 cuneiform tablets, original documents from the Judean community, which are now on display to the public for the first time. Anav Silverman, ContributorInternational Correspondent in Jerusalem",RELIGION,634
0.5488525,0.6672837138175964,"What 4 Top Catholic Archbishops Expect From The Pope's Visit Social justice and climate change are some of the pontiff's hallmark issues, but these bishops are ready to be surprised. Antonia Blumberg, Carol Kuruvilla, and Jaweed Kaleem",RELIGION,540
0.548686,0.6935053467750549,"A Thousand Sacntuaries From Hate Second in a series of of editorials by the author in response to Donald Trump’s improbable ascendance to the Oval office Sarbpreet Singh, ContributorPlaywright, commentator and writer",RELIGION,986
0.54878014,0.6826299428939819,"How The Catholic Church In America Is Doing On The Eve Of Pope Francis's Visit There's good news, and there's bad news. Rachel Zoll, AP",RELIGION,272
0.5380196,0.6749356985092163,"Rover Runs Into Trouble, Turns Back  ",SCIENCE,276
0.53799057,0.685294508934021,"Jupiter, Moon To Shine Closely Together In Night Sky Monday The table accompanying this guide gives local times of Jupiter's closest approach to the moon's upper edge on the night of ",SCIENCE,721
0.5487351,0.6752634644508362,"Daily Meditation: Finding The Sacred We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness Antonia Blumberg",RELIGION,319
0.5486926,0.6896708011627197,"Prince Philip Leaves Hospital On Christmas Eve Queen Elizabeth's 98-year-old husband was released from a London hospital on Tuesday. Hannah McKay, Reuters",POLITICS,109
0.54871553,0.692685067653656,"Martin Scorsese Brings 'Silence' To The Big Screen: A Story of Faith And Betrayal In 17th-century Japan The wait is over. The long anticipated film adaptation of Japanese author, Endō Shūsaku’s novel Silence by director, Martin M. Antoni J. Ucerler, S.J., ContributorDirector, Ricci Institute for Chinese-Western Cultural History...",RELIGION,192
0.5382072,0.6740401983261108,"Why Wild Turkeys Hate The Wild When the birds were reintroduced to New England after a long absence, they chose to live in cities instead of the forests they once called home. ",SCIENCE,18
0.54869705,0.6866245269775391,"The Gap Between Gun Deaths in the U.S. and Other Advanced Nations Is Getting Wider, Study Finds While the United States has failed to significantly reduce its annual rate of gun deaths, other high income countries have ",POLITICS,380
0.54868984,0.6870495676994324,"Praise the Lord or Praise the Person? The next time you leave your door unlocked and no one breaks in, the next time someone buys you a gift, or the next time someone does something nice for you, I'm not telling you not to thank God (if thanking God is what you do), I'm simply suggesting that people are also worthy of praise. Myisha Cherry, ContributorPhilosopher & Essayist",RELIGION,238
0.5487351,0.6894816756248474,RNC Names Official To Negotiate Debate Terms With GOP Candidates Representatives from the campaigns are meeting Sunday to discuss how to change the debate format. ,POLITICS,475
0.53797936,0.6908578276634216,"The Origami Cosmic Web of Galaxies In the picture of how the Universe developed, an origami analogy is helpful in understanding the formation of the ""cosmic web"" arrangement of galaxies. Mark Neyrinck, Contributor
Cosmologist",SCIENCE,823
0.5488259,0.682863175868988,"August 9: A Day Of Repentence August 9th is a good time to remember that the United States has an addiction, and an affliction, of violence. Shane Claiborne, ContributorAuthor and Activist",RELIGION,784
0.54866284,0.6839665770530701,"Interfaith Clergy Join Forces To Overturn North Carolina's Anti-LGBT Legislation “We are morally outraged."" ",RELIGION,493
0.53823376,0.6949837803840637,"Parents Of Daughters Lean Republican, Study Shows In the study, the researchers examined the results of a survey of 661 men and women from 1994 -- data collected by the University Macrina Cooper-White",SCIENCE,500
0.5381158,0.6832532286643982,"Ovulating Women Prefer Images of Penetration Over Images of Oral Sex Canadian researchers found that during ovulation the female genitalia is more responsive to images of penetration than to images of oral sex. The difference is significantly reduced during non-fertile phases of the menstrual cycle. Pere Estupinya, ContributorScience Journalist. Author of ""The brain snatcher"" and ""S=EX2;...",SCIENCE,421
